word_2025,count
sujetos,16
pudiera,1
comprarlos,1
odo,1
cambió,1
depende,4
haya,1
elevar,3
pone,2
interna,1
rico,2
p,14
ueblo,1
pobre,2
ineludible,2
enunciado,1
benito,4
juárez,4
gobiernos,7
ransformación,1
gobernante,1
aprender,1
vivir,3
justa,17
medianía,1
lujos,2
parafernalias,1
privilegios,5
austeridad,7
republicana,6
acabaron,1
prebendas,1
alta,6
burocracia,2
carga,15
funcionarios,3
deben,9
tener,3
ventajas,3
gobernantes,2
honrados,1
honestos,1
recuperar,3
ético,1
objetivo,130
prioridad,9
instituciones,26
democráticas,1
comprometidos,1
norma,1
atentos,1
eficientes,3
ciudadanos,6
corregidora,1
josefa,1
ortiz,1
premiarse,1
sirve,2
castigar,1
ella,1
usados,1
promoción,19
funcionario,2
alguno,1
delito,3
ensucia,1
combatir,6
pero,14
hemos,1
visto,2
obtener,4
necesarios,3
pocas,2
palabras,1
da,2
autoridad,4
importante,5
esquina,1
construye,2
mística,1
luchar,1
honradez,4
días,4
defendemos,1
máximo,3
regresando,1
nada,1
esencia,3
garantizaremos,4
libertades,7
prensa,1
reunión,2
movilización,1
somos,9
demócratas,1
respetarán,1
humanos,44
usaremos,2
fuerza,7
reprimir,2
respetaremos,2
emos,1
religiosa,2
sexual,12
cuidado,21
pueden,5
fortalecerse,2
prioritario,5
transición,13
energías,12
limpias,10
protegen,2
ecosistemas,23
garantiza,2
agua,44
hace,7
efectos,4
climático,18
tenemos,4
históricamente,11
negado,1
plenos,1
impulsamos,1
ámbitos,17
queremos,2
paz,19
fraternidad,3
coordinamos,1
mas,2
subordinamos,1
seguirá,3
autodeterminación,2
pueb,1
intervención,3
solución,2
controversias,2
paisanos,2
migrantes,9
héroes,3
heroínas,3
contribuyen,2
caso,3
políticas,56
migratorias,1
defenderemos,2
prestaremos,1
ayuda,3
jurídica,16
cualquier,8
tipo,10
consulados,3
eguiremos,1
fortaleciendo,19
económica,37
latina,4
caribe,2
une,2
diferentes,5
odio,1
esperanza,1
fundan,1
prójimo,1
familia,4
procurar,1
condenamos,1
clasismo,2
racismo,3
machismo,2
discriminación,20
reconocer,7
desigualdades,19
llevarán,1
injusticia,1
iguales,2
ley,13
debemos,1
vernos,1
ojos,1
corresponde,4
oportunidades,23
orienta,1
define,1
corto,1
mediano,1
instrumentos,14
cumplir,3
establecida,2
enriquecer,1
formulación,1
instrumentación,1
control,10
evaluación,5
destacar,2
llevaron,2
cabo,8
analizar,1
problemas,10
proponer,3
soluciones,3
foros,7
obresalió,1
foro,3
indígena,16
asistencia,5
entusiasmo,1
cerca,2
afromexicano,1
primera,14
articula,1
cuatro,8
ejes,10
generales,8
tres,25
transversales,4
estructuran,1
conjunto,2
punto,3
partida,2
eficiente,36
garantizarse,1
integral,65
atienda,1
causas,10
violencia,46
fortalezca,4
capacidades,17
haremos,2
digitalización,7
ambiciosa,1
simplificaremos,1
trámites,32
pagos,2
impuestos,4
serán,11
optimizar,10
brindar,8
cercano,8
transparente,9
práctica,3
ampliarse,1
niveles,29
corazón,1
meta,74
reducir,48
erradicar,20
perpetúan,7
fortalecerán,4
sean,9
acción,1
públic,2
mantendrán,2
rogramas,1
incremento,5
anual,60
esté,3
debajo,2
h,4
congreso,2
unión,2
aprobó,1
revertir,5
seguirán,1
preparatorias,2
públicas,37
escasos,1
construyendo,2
producción,68
pesca,4
fertilizantes,4
garantía,2
clínica,1
aremos,1
nuevos,7
odas,1
tendrán,1
bimestral,3
reconocimiento,23
mexicanas,17
asisten,1
escuelas,16
preescolar,2
primaria,2
secundaria,3
recibirán,1
comenzando,2
próximo,1
año,35
felices,1
ellas,5
ellos,2
presente,4
llevaremos,1
prevención,21
casa,3
contratar,1
médicos,2
enfermer,2
as,12
os,4
consolidaremos,1
gratuita,2
aumentaremos,1
número,54
universidades,2
llegue,1
superior,25
espacios,26
amplía,1
media,13
primarias,3
extenderán,3
horarios,3
incluir,3
deportes,3
artes,5
mer,1
cancías,1
convertiremos,1
potencia,5
científica,19
tecnológica,29
apoyaremos,1
ciencias,4
básicas,10
humanidades,3
vincularemos,1
prioritarios,11
tesón,1
capacidad,21
sobra,1
estoy,1
convencida,1
posicionaremos,1
vanguardia,3
pensadores,1
innovadoras,1
innovadores,3
tiempos,9
prehispánicos,1
tecnológicos,4
creativos,1
buscaremos,1
formal,10
comunitaria,10
remuneración,6
artistas,3
promoveremos,1
círculos,2
lectura,8
cuidados,33
transformaciones,1
sexenio,5
reconociendo,5
redistribuyendo,1
niña,2
joven,1
mujer,4
vea,3
limitada,2
autonomía,37
falta,26
reconozcan,2
digno,10
crecer,2
quedó,1
atrás,6
lugar,11
centro,8
consolidará,3
asegurando,66
mínimos,5
superen,1
garanticen,5
digna,4
trabajaremos,1
empresarial,2
siga,1
aumentando,3
alcanzar,6
canastas,5
laborales,30
cerrando,2
brechas,21
promoviendo,45
formalización,3
construiremos,3
viviendas,31
especialmente,25
esquemas,9
puedan,6
rentar,1
después,2
adquirir,5
desean,1
créditos,3
costo,6
mejoramiento,3
masivo,2
escr,1
ituración,1
motor,2
impulsando,9
proyectos,35
estratégicos,29
fomenten,7
industrialización,3
contenido,12
relocalización,7
inversiones,9
representa,13
oportunidad,4
única,2
productiva,16
avance,78
agregado,11
respetará,1
banxico,2
mantendrá,2
equilibrio,4
respecto,33
marco,19
destaca,2
conformación,2
iniciativa,1
contempla,2
colaboración,5
cuyo,4
fomentar,35
equitativo,26
aprovechamiento,10
propia,2
reduciendo,5
importaciones,5
innecesarias,1
busca,22
impulsar,53
formales,4
aumentar,9
procesos,24
simplificar,2
administrativos,9
estas,21
consolidarse,2
diez,11
cuenta,18
múltiples,3
tratados,2
comerciales,2
ubicación,3
estratégica,5
permite,4
comerciar,1
diversos,8
alrededor,1
aprovechando,1
incentivar,3
empresas,29
fundamental,37
generaciones,8
presentes,4
futuras,8
estratégico,6
energía,34
transmisión,5
generación,18
ambicioso,3
fuentes,12
renovables,13
contribuyan,6
disminuir,4
gases,10
invernadero,10
provocan,1
específica,1
contemplan,2
apuntan,1
megawatts,1
adicionales,4
fortalecimiento,31
potencial,7
líder,1
deberá,2
eléctrica,6
moderna,2
electrificación,7
transporte,23
d,6
tecnologías,17
proporción,12
actual,10
reglas,3
claras,2
garantizando,58
estabilidad,9
sis,1
tema,3
eléctrico,5
convienen,1
fuertes,1
limpia,4
actuales,2
petróleo,1
establecerá,1
barriles,1
preservación,9
requieren,6
incluyendo,9
racional,1
reforestar,1
án,1
bosques,3
selvas,3
ampliará,2
yucatán,2
terminará,1
ixtepec,1
ciudad,15
hidalgo,4
frontera,3
trenes,3
pasajeros,14
pachuca,1
laredo,1
nogales,1
veracruz,2
significan,1
turismo,6
seguiremos,1
caminos,4
artesanales,3
conectar,3
puertos,6
aeropuertos,4
generen,3
fortalezcan,5
conec,1
tividad,1
potencien,1
avanzaremos,1
autosuficiencia,10
mejoraremos,1
campesinos,1
permitiremos,1
siembra,1
maíz,10
genéticamente,1
modificado,1
seremos,1
autosuficientes,1
blanco,4
frijol,9
otros,22
cultivos,5
distribuidora,1
impulsora,1
conasupo,1
sa,1
cv,1
transforma,1
alimentación,7
comercio,8
productos,20
agropecuarios,5
seguir,2
atendie,1
tula,4
circular,5
quiere,1
decir,4
complejo,2
ambiental,23
aprovechar,7
residuos,10
tratamiento,2
reciclados,1
permi,1
tirá,1
contaminación,10
contaminada,1
convertirá,1
ordenarán,1
concesiones,2
acuerdo,11
humano,8
recurso,5
potable,6
tecnificaremos,1
riego,9
desarrollaremos,1
abastecimiento,4
reciclamiento,2
sanear,1
ríos,4
contaminados,4
disminución,3
delitos,10
impacto,18
regresará,3
irresponsable,1
guerra,1
narcotráfico,1
convicción,1
fruto,2
estrategia,261
consiste,1
dando,1
posibilidad,2
tengan,8
inteligencia,13
investigación,18
guardia,9
cero,1
impunidad,10
municipios,7
ministerio,2
fiscalía,1
república,47
fiscalías,3
estatales,15
respetando,7
construirá,1
judicial,10
federación,11
eligiendo,1
jueces,3
magistrados,2
ministros,3
termine,1
proceso,14
decidirá,1
buscamos,1
representación,10
reelección,2
ningún,3
cargo,4
elección,9
partir,7
constancia,1
mantener,6
honesto,9
nepotismo,6
buscando,1
prohibir,2
familiar,7
candidato,1
elecciones,2
inmediatas,2
municipal,12
gobernador,1
impidiendo,3
heren,1
cia,1
encargos,1
suman,2
pilares,2
refuerzan,1
eliminación,2
cierre,6
salariales,3
igualitaria,5
fundamentales,7
junto,1
istema,1
reformas,10
garantí,1
violencias,12
horizonte,1
reconocerán,1
agrarios,5
labores,10
acompañarán,1
elaboración,7
difusión,1
