word_2018,count
corresponde,1
cumplir,3
ela,1
borados,1
referencia,6
falsos,1
propósitos,5
mendaces,1
términos,4
informes,1
presidenciales,1
expresiones,4
correspondiente,2
tendrá,7
histórico,5
mar,2
cará,1
planes,1
distanciarse,1
ellos,5
clara,3
tajante,1
implica,2
restitución,1
vínculos,2
palabras,1
significados,1
deslinde,1
respecto,2
oscuro,2
tecnocrático,1
comunicar,2
gu,1
bernamentales,1
escondía,1
luego,1
elabora,1
recogerse,1
aprobado,1
urnas,2
julio,4
incluye,1
concepto,3
mismo,8
países,11
aplicado,2
encarnizada,1
brutal,3
destructiva,2
duró,1
tiempo,8
pe,4
queña,1
élite,4
impuso,1
adueñó,1
perpetuó,1
ellas,1
suce,1
sivos,1
fraudes,1
electorales,3
largo,2
elección,2
determinó,1
rumbo,3
sublevación,1
legal,8
pacífica,5
fruto,1
paulatina,1
toma,1
conciencia,2
unió,1
organizó,1
enterrar,1
hemos,3
llamado,3
cuarta,8
transformación,11
nuestros,3
antepasa,1
correspondió,1
modelos,3
remplazar,1
orden,4
colonial,2
conservadurismo,1
aliado,1
intervención,6
extranjera,2
porfiriato,1
nosotros,1
toca,1
edificar,2
sigue,1
tras,2
exclusiva,2
aunque,1
nuestro,6
sea,5
ro,2
tunda,1
faltar,1
principio,8
autodeterminación,2
soberanía,8
naciones,9
edifiquemos,1
inspiración,1
otros,16
pueblostenemos,1
mundo,8
responsabilidad,2
posneoliberal,1
convertirla,1
mode,2
viable,1
ordenamiento,2
debemos,1
demos,1
trar,1
autoritarismo,1
posible,7
imprimir,2
modernidad,2
forjada,1
aba,1
jo,2
excluir,2
tiene,9
porqué,1
contrario,2
tales,4
enmarca,1
estos,3
rectores,1
característica,1
perniciosa,2
neo,1
liberales,1
mexicanos,15
extendida,1
conver,1
tida,1
administrativa,2
principal,5
inhibidor,1
eso,3
estamos,5
empeñados,1
acabar,3
monetaria,2
conllevan,1
mentira,1
robos,1
monumentales,1
recursos,10
acompañados,1
suntuosidad,1
frivoli,1
expensas,1
erario,2
enriquecidos,1
insultante,1
